# EIG2DOS: Utility for SIESTA to obtain the electronic density of states
#  E. Artacho, Apr 1999, A. Garcia, Apr 2012
#  Nick R. Papior, Feb 2017
# ------------------------------------------
# Eigenvalues read from Fe.EIG
# Kpoint weights read from Fe.KP
# Using smearing parameter:   0.2000
# Using 1000 points in the energy range
# Selected bands: 1 to: 38
# Emin, Emax in file for selected band(s):    -91.7901190    229.3201370
# Nbands, Nspin, Nk   =     38     2 63800
# E_F                 =    -4.2944 eV --> (shifted to ZERO)
# Broadening          =     0.2000 eV
#
#        E            N(up)        N(down)         Ntot
    -43.814657      0.000000      0.000000      0.000000
    -43.711564      0.000000      0.000000      0.000000
    -43.608470      0.000000      0.000000      0.000000
    -43.505377      0.000000      0.000000      0.000000
    -43.402284      0.000000      0.000000      0.000000
    -43.299191      0.000000      0.000000      0.000000
    -43.196098      0.000000      0.000000      0.000000
    -43.093004      0.000000      0.000000      0.000000
    -42.989911      0.000000      0.000000      0.000000
    -42.886818      0.000000      0.000000      0.000000
    -42.783725      0.000000      0.000000      0.000000
    -42.680631      0.000000      0.000000      0.000000
    -42.577538      0.000000      0.000000      0.000000
    -42.474445      0.000000      0.000000      0.000000
    -42.371352      0.000000      0.000000      0.000000
    -42.268259      0.000000      0.000000      0.000000
    -42.165165      0.000000      0.000000      0.000000
    -42.062072      0.000000      0.000000      0.000000
    -41.958979      0.000000      0.000000      0.000000
    -41.855886      0.000000      0.000000      0.000000
    -41.752793      0.000000      0.000000      0.000000
    -41.649699      0.000000      0.000000      0.000000
    -41.546606      0.000000      0.000000      0.000000
    -41.443513      0.000000      0.000000      0.000000
    -41.340420      0.000000      0.000000      0.000000
    -41.237326      0.000000      0.000000      0.000000
    -41.134233      0.000000      0.000000      0.000000
    -41.031140      0.000000      0.000000      0.000000
    -40.928047      0.000000      0.000000      0.000000
    -40.824954      0.000000      0.000000      0.000000
    -40.721860      0.000000      0.000000      0.000000
    -40.618767      0.000000      0.000000      0.000000
    -40.515674      0.000000      0.000000      0.000000
    -40.412581      0.000000      0.000000      0.000000
    -40.309488      0.000000      0.000000      0.000000
    -40.206394      0.000000      0.000000      0.000000
    -40.103301      0.000000      0.000000      0.000000
    -40.000208      0.000000      0.000000      0.000000
    -39.897115      0.000000      0.000000      0.000000
    -39.794021      0.000000      0.000000      0.000000
    -39.690928      0.000000      0.000000      0.000000
    -39.587835      0.000000      0.000000      0.000000
    -39.484742      0.000000      0.000000      0.000000
    -39.381649      0.000000      0.000000      0.000000
    -39.278555      0.000000      0.000000      0.000000
    -39.175462      0.000000      0.000000      0.000000
    -39.072369      0.000000      0.000000      0.000000
    -38.969276      0.000000      0.000000      0.000000
    -38.866183      0.000000      0.000000      0.000000
    -38.763089      0.000000      0.000000      0.000000
    -38.659996      0.000000      0.000000      0.000000
    -38.556903      0.000000      0.000000      0.000000
    -38.453810      0.000000      0.000000      0.000000
    -38.350717      0.000000      0.000000      0.000000
    -38.247623      0.000000      0.000000      0.000000
    -38.144530      0.000000      0.000000      0.000000
    -38.041437      0.000000      0.000000      0.000000
    -37.938344      0.000000      0.000000      0.000000
    -37.835250      0.000000      0.000000      0.000000
    -37.732157      0.000000      0.000000      0.000000
    -37.629064      0.000000      0.000000      0.000000
    -37.525971      0.000000      0.000000      0.000000
    -37.422878      0.000000      0.000000      0.000000
    -37.319784      0.000000      0.000000      0.000000
    -37.216691      0.000000      0.000000      0.000000
    -37.113598      0.000000      0.000000      0.000000
    -37.010505      0.000000      0.000000      0.000000
    -36.907412      0.000000      0.000000      0.000000
    -36.804318      0.000000      0.000000      0.000000
    -36.701225      0.000000      0.000000      0.000000
    -36.598132      0.000000      0.000000      0.000000
    -36.495039      0.000000      0.000000      0.000000
    -36.391945      0.000000      0.000000      0.000000
    -36.288852      0.000000      0.000000      0.000000
    -36.185759      0.000000      0.000000      0.000000
    -36.082666      0.000000      0.000000      0.000000
    -35.979573      0.000000      0.000000      0.000000
    -35.876479      0.000000      0.000000      0.000000
    -35.773386      0.000000      0.000000      0.000000
    -35.670293      0.000000      0.000000      0.000000
    -35.567200      0.000000      0.000000      0.000000
    -35.464107      0.000000      0.000000      0.000000
    -35.361013      0.000000      0.000000      0.000000
    -35.257920      0.000000      0.000000      0.000000
    -35.154827      0.000000      0.000000      0.000000
    -35.051734      0.000000      0.000000      0.000000
    -34.948641      0.000000      0.000000      0.000000
    -34.845547      0.000000      0.000000      0.000000
    -34.742454      0.000000      0.000000      0.000000
    -34.639361      0.000000      0.000000      0.000000
    -34.536268      0.000000      0.000000      0.000000
    -34.433174      0.000000      0.000000      0.000000
    -34.330081      0.000000      0.000000      0.000000
    -34.226988      0.000000      0.000000      0.000000
    -34.123895      0.000000      0.000000      0.000000
    -34.020802      0.000000      0.000000      0.000000
    -33.917708      0.000000      0.000000      0.000000
    -33.814615      0.000000      0.000000      0.000000
    -33.711522      0.000000      0.000000      0.000000
    -33.608429      0.000000      0.000000      0.000000
    -33.505336      0.000000      0.000000      0.000000
    -33.402242      0.000000      0.000000      0.000000
    -33.299149      0.000000      0.000000      0.000000
    -33.196056      0.000000      0.000000      0.000000
    -33.092963      0.000000      0.000000      0.000000
    -32.989869      0.000000      0.000000      0.000000
